id,name,type,status,priority,description,location_name,lat,lng,funding_fy25,funding_fy26,funding_fy27,funding_fy28,funding_fy29,funding_future,total_cost,funding_source,department,start_date,construction_start,end_date,link
626,Vision Zero - Intersection Upgrades,Transportation,Planning,Medium,"This project implements safety upgrades for high-injury network intersection and segment priorities (e.g., Ten Ten Road at Lufkin Road, US 64 east bound ramps at NC 55, Lake Pine Drive at Pine Plaza Drive, Perry Road at NC 55, Vision Drive at NC 55, and Beaver Creek Commons Drive at NC 55). Vision Zero improvements help reduce the risk of serious injuries and fatalities in the high-injury network.",,,,100000,200000,850000,850000,0,850000,,General Fund / Capital Outlay,,2024-07-01,,2028-06-30,
627,West Williams St Sidewalk & Vision Zero,Transportation,Planning,Medium,"This project completes sidewalk gaps in front of the Beaver Creek Commons shopping center, crossing the US 64 eastbound off ramp, connecting across the bridge over US 64, and extending to the Vision Drive intersection. Signalized crosswalks would be installed at the existing traffic signals on both ends of this project. This project allows pedestrians to no longer travel along the road’s shoulder and addresses inaccessible ramps and crosswalks at both ends of this project.",,35.74790547,-78.87488365,50000,1600000,0,0,0,0,,"General Obligation Bonds, General Fund / Capital Outlay",,2024-07-01,,2026-06-30,
628,Apex Peakway Southwest Widening,Transportation,Not Started,Medium,"This project widens 1600’ of the existing Apex Peakway from a two-lane road to a four-lane median-divided road between Padstone Drive and James Street. Peak hour traffic will exceed existing roadway capacity within five years. In addition to other projects, this project will help complete a contiguous four-lane section from Towhee Drive to Tingen Road. Without it, the road will continue to cause longer delays making access difficult for commuters and emergency vehicles.",,35.71754543,-78.86477709,0,750000,675000,2900000,0,0,,General Fund / Capital Outlay,,2025-07-01,,2028-06-30,
629,Center Street RR Crossing Improvements,Transportation,Not Started,Medium,This project improves and expands the railroad crossing surface to accommodate a sidewalk crossing. This project extends the sidewalk on the south side of Center Street to complete a short gap from the Depot frontage across the tracks to Elm Street. This project also upgrades to four-quadrant gates and the associated railroad equipment upgrades. This project 13 prevents pedestrians from being forced onto the roadway and may create a quiet zone at this crossing due to the safety enhancements,,35.73223047,-78.84967089,0,800000,0,0,0,0,,General Obligation Bonds,,2025-07-01,,2026-06-30,
630,Chatham Street RR Crossing Improvements,Transportation,Not Started,Medium,This project improves and expands the railroad crossing surface to accommodate a sidewalk crossing. This project extends the sidewalk on the north side of Chatham Street to the east corner of Elm Street with a crosswalk to the south side of Chatham Street where the sidewalk connects today. This project also upgrades to four-quadrant gates and the associated railroad equipment upgrades. This project prevents pedestrians from being forced onto the roadway and may create a quiet zone at this crossing due to the safety enhancements.,,35.73041023,-78.85078669,0,800000,0,0,0,0,,General Obligation Bonds,,2025-07-01,,2026-06-30,
631,Jessie Drive Phase 1,Transportation,Design,Medium,"This project upgrades an existing section of Jessie Drive from west of Ten Ten Road to the Horton Park development boundary using half of a 4-lane divided roadway with 10' side path on both sides and increasing to the ultimate 4-lane width in advance of Ten Ten Road. The Horton Park development will extend Jessie Drive west to the future Production Drive and a collector street south to Colby Chase Drive. The Apex Commerce Center project will extend Production Drive south to Jessie Drive, providing local connectivity north and south.",,35.70756223,-78.81437302,0,4350000,0,0,0,0,,General Obligation Bonds,,2025-07-01,,2026-06-30,
632,New Hill Holleman Rd US-1 Bridge (HE-0010),Transportation,Not Started,Medium,This cost share is for an NCDOT bridge replacement on New Hill Holleman Road at US 1. This funding allows for a section wider than the NCDOT plans to support and allows for enhanced pedestrian and bicycle accommodations more consistent with Apex and Holly Springs transportation plans.,,35.66894181,-78.93054485,0,1250000,0,0,0,0,,General Fund / Capital Outlay,,2025-07-01,,2026-06-30,
633,S-line Mobility Hub,Transportation,Planning,Medium,"In September of 2023, Town Council agreed to participate in the S-Line Rail Corridor development and to provide funding to match a federal grant opportunity for mobility hub design and project developmental activities. If awarded this federal grant, the Town’s funding along with grant funding would cover the preliminary design, final design, and National Environmental Policy Act compliance for a future passenger rail mobility hub in Apex.",,35.72788447,-78.85267496,0,460000,0,0,0,0,,"Grants, General Fund / Capital Outlay",,2025-07-01,,2026-06-30,
634,Safe Routes to School,Transportation,Planning,Medium,"These projects improve and expand the Town’s existing infrastructure for pedestrian and bicycle traffic to and/from schools. After analyzing safe routes to school needs, this project was designed to add sidewalks, pedestrian facilities, and safe crosswalks near Apex High School, Apex Friendship Schools, Green Level High School, Apex Middle School, Laurel Park Elementary School, Olive Chapel Elementary School, and Salem Schools. These projects fill gaps in the sidewalk network and other transportation system deficiencies in the transportation system to make schools more walkable and bikeable.",,,,0,1524548,2588250,2223375,942742,1613738,,General Fund / Capital Outlay,,2025-07-01,*,2029-06-30,
635,Wayfinding Signage,Transportation,Planning,Medium,"This project fabricates and installs Wayfinding signage throughout Town. Sign types include parking directional, vehicular directional, pedestrian directional, destination identification, gateway signage, and bicycle signage. This project was identified in the Downtown Plan and Parking Study and as an extension of the Community Branding Study. The Wayfinding Signage Program provides consistent and attractive information to help residents and visitors discover and navigate to key destinations in Town.",,,,0,400000,500000,500000,0,0,,General Fund / Capital Outlay,,2025-07-01,,2028-06-30,
636,Center & Chatham St Sidewalk Phase 2,Transportation,Not Started,Medium,This project completes additional sidewalk gaps across the Center Street and Chatham Street railroad crossings where prior projects upgraded the crossings and completed the sidewalk gaps on one side of each road. This project includes sidewalk along the north side of Center Street from N. Salem Street to N. Mason Street and sidewalk along the south side of Chatham Street from S. Salem Street to S. Elm Street and from N. Mason Street to the cul-de-sac and existing sidewalk in front of Clairmont Park. The project serves Safe Routes to School needs for Apex Middle School.,,35.73176888,-78.84816885,0,0,260000,205000,1300000,0,,"General Fund / Capital Outlay, TBD",,2026-07-01,,2029-06-30,
637,Davis Dr at Salem Church Rd Realignment,Transportation,Not Started,Medium,"This project realigns 1000' of Davis Drive north of Jenks Road to improve the horizontal curvature and widens that section of road to 4-lane divided. This project also widens Salem Church Road across the CSX tracks to a 3-lane section and installs new gates and lights. This intersection would have a traffic signal and railroad gate arms installed, and this intersection would shift west, away from the CSX railroad freight line, allowing vehicles to stack beyond the tracks. This project alleviates Salem Church Road needing to convert to right in-right out and alleviates safety concerns for the following issues: no left turn on Davis Drive backing up traffic southbound, no space for a traffic signal or gate arms to warn of an approaching train, and limited visibility around the curve on Davis Drive.",,35.75452723,-78.84654343,0,0,800000,2700000,0,3500000,,"General Fund / Capital Outlay, General Obligation Bonds",,2026-07-01,,2028-06-30,
638,Jessie Drive Phase 2,Transportation,Not Started,Medium,"This project provides a contiguous major thoroughfare route between Ten Ten Road and NC 55 south of US 1 by completing a 4-lane divided missing gap in Jessie Drive between Production Drive and the Jessie Commons development project boundary. This assumes private development will make the connection to the NC 55 stubbing east of Middle Creek. This road would serve adjacent land development, including industrial and commercial areas. If there were a major closure or delay on NC 55 or Ten Ten Road, it would provide an east-west detour.",,35.70442593,-78.82866377,0,0,2330000,3000000,0,9300000,,"General Obligation Bonds, TBD",,2026-07-01,,2028-06-30,
639,NC 55 CSX RR Bridge (U-2901BA),Transportation,Not Started,Medium,"Transportation Improvement Program Project U-2901BA will replace the CSX bridge over NC 55 with a taller and longer structure to accommodate the NC 55 widening project. With Town cost sharing, this project will include pedestrian facilities (sidewalks and paths) and aesthetic treatments at the new CSX Bridge. NCDOT will replace existing pedestrian facilities but not complete gaps where there are no existing facilities without the Town cost sharing.",,35.72676962,-78.85296464,0,0,500000,0,0,0,,Grants,,2026-07-01,,2027-06-30,
640,Tingen Road Pedestrian Bridge,Transportation,Design,Medium,"This project constructs a pedestrian bridge over the railroad crossing of Tingen Road. This at-grade railroad crossing will be closed as part of the Apex Peakway Southwest Connector project based on the agreement with CSX. This pedestrian bridge will provide a space for members of the community to safely cross the railroad tracks on Tingen Road to access downtown Apex, multi-family residential developments, multiple churches, and Apex Elementary School.",,35.72318982,-78.85618329,0,0,2000000,2000000,0,0,,TBD,,2026-07-01,,2028-06-30,https://www.apexnc.org/1848/Pedestrian-Bike-and-Transit-Projects
641,Traffic Signal System Partnership,Transportation,Not Started,Medium,"This project proposes an annual traffic signal system operation and maintenance agreement with the Town of Holly Springs and the Town of Fuquay-Varina. This regional partnership opportunity was identified in the Western Wake Traffic Signal System Integration Study. The Town of Apex currently has limited traffic signal maintenance responsibilities in a few locations. However, as new signals are added to Town-maintained roads and Town-maintained mileage and pedestrian facilities expand, this responsibility along with potential safety and service benefits will continue increase.",,,,0,0,180000,160000,0,2200000,,"General Fund / Capital Outlay, TBD",,2026-07-01,,2028-06-30,
642,US 64 at NC 751 Interchange (R-5887),Transportation,Not Started,Medium,"Transportation Improvement Program (TIP) Project R-5887 will replace the at-grade intersection of US 64 and NC 751 with a grade-separated interchange. With Town cost sharing, this project will include pedestrian facilities (sidewalks and paths) and aesthetic treatments at the new bridge. NCDOT will replace existing pedestrian facilities but not complete gaps where there are no existing facilities without the Town cost sharing.",,35.74120043,-78.94981384,0,0,1000000,0,0,0,,General Fund / Capital Outlay,,2026-07-01,,2027-06-30,
643,Vision Zero Bike & Pedestrian,Transportation,Planning,Medium,The project implements countermeasures for locations throughout Apex where severe or fatal bicycle or pedestrian crashes have occurred. These locations will be based on bicycle and pedestrian crash data consolidated and analyzed as part of the Vision Zero Action Plan and subsequent updates.,,,,0,0,600000,400000,0,2000000,,"General Fund / Capital Outlay, TBD",,2026-07-01,,2028-06-30,
644,NC 55 Sidewalk & Enhancement (U-2901B),Transportation,Planning,Medium,"Transportation Improvement Program Project U-2901B will widen NC 55 from US 1 to Olive Chapel Road. With Town cost sharing, this project will include pedestrian facilities (sidewalks and paths), aesthetic treatments at the new CSX Bridge, and median and landscaping enhancements. NCDOT will replace existing pedestrian facilities but not complete gaps where there are no existing facilities without the Town cost sharing.",,35.72505378,-78.84810448,0,0,0,0,2000000,0,,General Fund / Capital Outlay,,2028-07-01,,2029-06-30,
645,US 64 Sidewalk & Enhancement (U-5301),Transportation,Planning,Medium,"This project converts the intersections of US 64 at Lake Pine Drive and US 64 at Laura Duncan Road into an interchange and converts US 64 from Laura Duncan Road to US 1 into a superstreet. This project funds protected pedestrian facilities, including sidewalks, multi-use paths, and crossings. NCDOT will replace existing pedestrian facilities but will not complete gaps where there are no existing facilities unless the Town cost shares.",,35.74762683,-78.83514404,0,0,0,0,2000000,0,,TBD,,2028-07-01,,2029-06-30,
646,Apex Peakway Southeast Connector,Transportation,Planning,Medium,"This project is aligned with the Apex Peakway Southeast Connector Feasibility Study and completes the final gap in the Apex Peakway, which creates a full loop around downtown Apex. Apex Peakway will become increasingly important given anticipated delays to NCDOT's widening of the NC 55 corridor between US 1 and Olive Chapel Road. The completed Apex Peakway loop will provide an alternative to the NC 55 corridor through Apex and help manage anticipated traffic volume.",,35.71921788,-78.84205341,0,0,0,0,0,27320700,,General Obligation Bonds,,,,,
647,Annual Greenway Feasibility and Development,"Parks, Recreation & Cultural Resources",Ongoing,Medium,"This allocation funds feasibility studies for greenway trail corridors with the highest scores in the annual prioritization metric that was adopted with the Parks, Recreation, Greenways, and Open Space Master Plan. Projects may include new trail segments, existing trail corridor extensions, or existing trail corridor gap filling. This allocation funds the design development and construction document plan for the highest prioritized greenways.",,,,0,400000,500000,600000,600000,700000,,General Fund / Capital Outlay,,2025-07-01,*,2029-06-30,
648,Beaver Creek Greenway Extension,"Parks, Recreation & Cultural Resources",Planning,Medium,"This project extends the Beaver Creek Greenway within Jaycee Park to the NC 55 Right of Way. During the NC 55 widening, the Town will cost share with NCDOT to extend the greenway under NC 55 with a grade separated crossing. This project also extends the 10' asphalt trail, including boardwalk and bridge sections, within the Nature Park to Richardson Road, providing connections to Bella Casa, Arcadia Ridge/West, and Buckhorn Preserve. Additionally, the Beaver Creek Greenway will extend west of Richardson Road on the south side of Beaver Creek along the southern edge of Army Corps of Engineers Jordan Lake land to the American Tobacco Trail north of the New Hill-Olive Chapel Road Wake County trailhead.",,35.7201412,-78.91715527,672000,0,854000,4980000,7283000,4620000,,"General Fund / Capital Outlay, Designated Capital Funds, General Obligation Bond",,2024-07-01,,2029-06-30,
649,KidsTowne Playground Renovation,"Parks, Recreation & Cultural Resources",Design,Medium,"This project replaces the KidsTowne Playground equipment, improves the surfacing, and adds a secondary rental shelter. This treated lumber, community-built playground is 24 years old, so the structure’s life is limited despite routine maintenance and component replacements. Renovations with long-lasting composite or metal components will increase this facility's longevity for another 20+ years and allow for a more accessible play facility to be constructed. Poured-in-place surfacing increases its accessibility and longevity and will reduce the time and replacement costs for mulch safety surfacing. The highly used shelter is often not available for public use due to rentals, so adding a larger secondary rental shelter would provide additional protected space for resident use.",,35.73250917,-78.89456034,200000,2400000,783500,0,0,0,,General Fund / Capital Outlay,,2025-07-01,,2027-06-30,
650,Middle Creek Greenway,"Parks, Recreation & Cultural Resources",Planning,Medium,"This project extends the bike and pedestrian facilities north of Jessie Drive to a signalized crossing of Ten Ten Road at Reliance Avenue. This greenway will ultimately connect to Swift Creek Greenway at Regency Park in the Town of Cary. This project connects six subdivisions, two schools, downtown Holly Springs, Pinnacle Park, Apex Commerce Center and Meridian at Ten Ten Apartments, and other commercial and office spaces.",,35.72069867,-78.81982327,450000,0,0,250000,250000,4100000,,"General Fund / Capital Outlay, General Obligation Bonds",,2024-07-01,,2029-06-30,
651,Reedy Branch Greenway,"Parks, Recreation & Cultural Resources",Design,Medium,"This project completes a greenway gap between the American Tobacco Trail and Kelly Road by extending the 10' asphalt Reedy Branch Greenway from Kelly Road to Goliath Lane. From the existing greenway at Goliath Lane, the proposed greenway runs east along the north side of Reedy Branch before crossing to the south side of the creek and continuing east to Kelly Road. A mid-block crossing proposed at Kelly Road would connect to the existing side path on the east side of the road. Neighborhood connections are proposed at Rothwood Way, Homestead Park Drive, Evening Star Drive, and Windy Creek Lane. This project provides connectivity to transit stops, Abbington, Stratford at Abbington, Sweetwater, Homestead Park, Creekside, and other connected subdivisions, schools, commercial spaces, and office spaces.",,35.73820475,-78.90440941,250000,350000,0,6555000,0,0,,"General Fund / Capital Outlay, Designated Capital Funds",,2024-07-01,,2028-06-30,
652,Wimberly Road Park Design,"Parks, Recreation & Cultural Resources",Not Started,Medium,"This project designs and develops nearly 50 acres with a 70,000+ square foot recreation center, maintenance facility, and yard. Given public input, preliminary project features include indoor staffed and programmed recreation space (gymnasium/multi-functional spaces/classrooms), trails, a passive open space, adaptive multi-use fields, sport courts, community gardens, and a park operation facility and yard to provide environmental education and conservation opportunities.",,35.76303762,-78.9197731,1000000,1000000,0,0,95700000,0,,"General Fund / Capital Outlay, General Obligation Bonds",,2024-07-01,,2029-06-30,
653,Community Park Trail Widening,"Parks, Recreation & Cultural Resources",Not Started,Medium,"This project widens the trail from eight feet to at least twelve feet. During widening, this project will create swales to address erosion and stormwater, increase the radius of sharp curves where possible, and lessen steep slopes or provide accessible landings. This project also preserves trees along the corridor, establishes shoulders, reinstalls or replaces memorial benches, and upgrades amenities to Town standards.",,35.75070052,-78.82045627,0,375000,5100000,0,0,0,,General Fund / Capital Outlay,,2025-07-01,,2027-06-30,
654,Environmental Education Center,"Parks, Recreation & Cultural Resources",Design,Medium,"This project designs and develops a 7,000+ square foot facility at the Nature Park. This design is centered around nature and environmental education, and it will provide offices, a reception/info desk, exhibit and shop space, an adaptive classroom/gathering place, a kitchen, restrooms, and a conference room. This facility will also connect with the shelter restroom and support amphitheater programming.",,35.71732766,-78.9075315,0,8600000,0,0,0,0,,Installment Purchase / Capital Lease,,2025-07-01,,2026-06-30,
655,Hunter Street Park Renovation,"Parks, Recreation & Cultural Resources",Not Started,Medium,"This project replaces the Hunter Street Park turf field, which was installed in 2016. This field has experienced heavy usage and is beginning to show signs of wear. A new all-weather field is expected to last about ten years. This renovation increases paved surfaces and adds accessible visitor areas. This project also installs a retaining wall and slope stabilization to reduce erosion on the field surface and address stormwater concerns.",,35.73737744,-78.84801865,0,175000,1125000,0,0,0,,General Fund / Capital Outlay,,2025-07-01,,2027-06-30,
656,Street Hockey & Inclusive Playground,"Parks, Recreation & Cultural Resources",Not Started,Medium,This project replaces the existing play equipment with an inclusive playground. This project includes accessible ramps and walkways along with pour-in-place safety surfacing and sidewalks. This project also constructs a roof and adds lighting and IT equipment to monitor street hockey games and tournaments in conjunction with NHL Carolina Hurricanes and community organizations.,,35.75520635,-78.82825613,0,900000,900000,0,0,0,,General Fund / Capital Outlay,,2025-07-01,,2027-06-30,
657,Big Branch Greenway,"Parks, Recreation & Cultural Resources",Not Started,Medium,"This project completes the Big Branch Greenway corridor from James Street south to US 1. This 10' asphalt trail will provide connectivity to transit routes and side paths that extend to S. Salem Street along Tingen Road. It will also provide connectivity to Irongate, Lexington, Bradley Terrace, Perry Farms, other subdivisions, Apex Elementary School, and potentially Veridea Parkway after coordinating with the Grace Christian School project.",,35.7111166,-78.85784626,0,0,639000,150000,0,4260000,,General Fund / Capital Outlay,,2026-07-01,,2028-06-30,
658,Nature Park O&M Building,"Parks, Recreation & Cultural Resources",Not Started,Medium,"This project replaces the current Nature Park Operation and Maintenance facility with a two-story building and two-acre yard with staff parking. The new building will include 30,000 square feet of office, warehouse, and sign shop space.",,35.72191377,-78.90357256,0,0,1250000,0,15550000,0,,"General Fund / Capital Outlay, Installment Purchase / Capital Lease",,2026-07-01,,2029-06-30,
659,Jaycee Park Expansion,"Parks, Recreation & Cultural Resources",Not Started,Medium,"This project develops the west side of Jaycee Park adjacent to the Apex Peakway. Plans include an open play field, shelter with restroom, hillside playground, adaptive pickleball/tennis court, and additional parking. This expansion will connect to the Beaver Creek Greenway and existing Jaycee Park amenities.",,35.73002702,-78.86539936,0,0,0,500000,0,4100000,,General Fund / Capital Outlay,,2027-07-01,,2028-06-30,
660,Veridea Park Development,"Parks, Recreation & Cultural Resources",Not Started,Medium,"This project develops dedicated parkland from the Veridea development. Plans include a 28,000 square foot recreation facility, a one-acre dog park, four softball fields, and four tennis courts.",,35.69857106,-78.84329796,0,0,0,1000000,1000000,87500000,,"General Fund / Capital Outlay, General Obligation Bonds",,2027-07-01,,2029-06-30,
661,Apex Community Park Parking Lot Expansion,"Parks, Recreation & Cultural Resources",Not Started,Medium,"This project reconfigures the existing parking area at the Apex Community Park and adds approximately 30 parking spaces needed to service the greenway, shelters, a fitness course, tennis courts, playgrounds, basketball courts, and special events.",,35.75322556,-78.82296681,0,0,0,0,0,950000,,General Fund / Capital Outlay,,,,,
662,Olive Farm Park Design,"Parks, Recreation & Cultural Resources",Not Started,Medium,"This project designs and develops about 25 acres with a 40,000+ square foot recreation center. Given public input, preliminary project features include indoor staffed and programmed recreation space (gymnasium/classrooms), trails, a street-side greenway that connects to surrounding subdivisions, passive open space, and adaptive multi-use fields and sport courts.",,35.69986927,-78.9288497,0,0,0,0,0,54750000,,General Obligation Bonds,,,,,
663,Seymour Athletic Fields and Nature Park Parking Lot Expansion and Turf Renovation,"Parks, Recreation & Cultural Resources",Not Started,Medium,This project adds about 50 parking spaces near the Seymour Athletic Fields upon demolition of the current Operations and Maintenance building and yard. The project also renovates the existing synthetic turf fields and addresses drainage issues.,,35.72095128,-78.90310049,0,0,0,0,0,3575000,,General Fund / Capital Outlay,,,,,
664,Engine (Pumper) Replacement,Public Safety,Planning,Medium,"This project replaces Unit 189, a fire engine pumper, following the replacement schedule for engines, ladders, and rescues at the 15-year timeframe. This fire engine is 14 years old with over 121,000 miles.",,,,1250000,0,0,0,0,0,,"Installment Purchase / Capital Lease, Intergovernmental Funds",Fire,2024-07-01,,2025-06-30,
665,Radio Replacement,Public Safety,Planning,Medium,"This project replaces all mobile and portable radios for Public Safety. Current radios will begin to go end-of-life, and repair costs will exceed device costs. This replacement schedule allows radio replacement as their warranties expire.",,,,500000,500000,500000,0,0,0,,General Fund / Capital Outlay,,2024-07-01,,2027-06-30,
